,tot_vap_20,bvap_20,hvap_20,asian_nhpi_vap_20,amin_vap_20,other_vap_20,white_vap_20,tot_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,pres_08_dem,pres_08_rep,pres_12_dem,pres_12_rep,pres_16_dem,pres_16_rep,sen_16_dem,sen_16_rep,gov_18_dem,gov_18_rep,ag_18_dem,ag_18_rep,pres_20_dem,pres_20_rep,sen_20_dem,sen_20_rep
vtd:08031031411,1294,40,351,23,12,25,843,1493,52,424,34,14,26,943,657,83,686,114,712,114,697,132,703,117,674,136,857,135,827,169
vtd:08031031433,2022,53,1298,49,29,25,568,2613,83,1779,62,36,29,624,538,146,716,156,689,209,702,198,646,157,651,162,872,230,870,234
vtd:08031031228,680,2,36,40,8,14,580,854,9,49,56,10,19,711,419,148,358,195,390,134,368,167,386,143,385,147,455,149,437,167
vtd:08031031635,1624,30,109,75,11,26,1373,1829,38,126,95,11,31,1528,490,454,412,427,609,409,632,442,655,443,642,442,921,451,858,528
vtd:08031031420,1595,70,407,118,30,28,942,1946,97,561,136,38,32,1082,785,229,841,236,874,187,852,206,760,167,733,191,924,216,903,238
vtd:08031031423,2165,156,741,67,59,30,1112,2782,242,1045,77,64,33,1321,499,234,642,209,577,185,553,200,554,192,540,191,944,302,923,311
vtd:08031031424,2038,53,462,75,13,29,1406,2362,80,568,79,13,33,1589,456,171,498,143,740,222,717,242,816,212,807,206,1298,330,1255,375
vtd:08031031204,2337,161,362,86,50,29,1649,2393,178,383,87,52,30,1663,1006,130,1010,163,1051,85,993,119,995,90,966,100,1245,109,1214,135
vtd:08031031205,1798,103,222,76,28,30,1339,1855,110,230,82,30,32,1371,864,101,866,124,892,81,865,94,962,72,928,94,1109,100,1085,119
vtd:08031031815,856,151,98,25,9,12,561,1064,208,116,30,10,18,682,544,47,581,61,643,37,625,55,636,50,620,61,724,49,712,60
vtd:08031031432,1976,35,1218,29,45,25,624,2633,78,1745,39,55,32,684,529,115,739,113,700,118,680,139,678,88,669,99,881,161,891,166
vtd:08031031226,945,10,54,25,8,15,833,1090,14,64,32,9,22,949,511,140,482,197,602,121,577,162,559,128,559,125,717,128,708,140
vtd:08031031235,1524,18,77,41,19,29,1340,1891,28,99,57,27,41,1639,871,292,842,345,920,236,924,295,948,240,906,271,1107,242,1069,290
vtd:08031031429,1992,64,1156,39,32,21,680,2572,104,1621,42,38,23,744,498,95,664,105,730,134,708,142,662,114,662,122,946,187,936,193
vtd:08031031816,908,192,77,21,5,16,597,1089,220,107,33,10,21,698,585,50,578,73,585,60,576,77,573,67,556,83,686,59,676,77
vtd:08031031828,2139,218,288,79,35,30,1489,2304,262,314,89,37,41,1561,866,125,975,159,919,116,879,161,1030,124,1012,132,1305,122,1258,161
vtd:08031031842,1250,86,115,49,11,23,966,1340,99,134,55,13,28,1011,759,134,774,148,716,113,694,128,747,98,736,119,835,104,824,126
vtd:08031031849,1560,45,119,56,32,24,1284,1655,45,132,61,32,24,1361,782,127,795,160,946,103,895,124,932,114,899,131,1093,103,1085,112
vtd:08031031436,2878,122,2214,105,33,22,382,4270,242,3331,150,40,45,462,416,91,671,96,595,105,573,125,458,80,460,81,759,166,775,149
vtd:08031031103,2177,58,1358,52,44,15,650,2986,93,1993,72,56,22,750,543,176,657,168,678,241,703,227,637,199,626,211,886,274,883,268
vtd:08031031704,944,326,226,24,7,11,350,1225,410,338,31,7,19,420,530,29,616,50,564,51,551,75,535,53,526,63,633,62,632,69
vtd:08031031120,2624,107,987,135,59,36,1300,3323,154,1447,159,70,39,1454,679,355,730,367,634,388,635,382,638,278,606,299,867,392,832,416
vtd:08031031118,2808,143,1464,111,39,19,1032,3643,202,2086,127,47,29,1152,576,241,709,247,599,234,592,241,501,189,484,204,777,236,783,222
vtd:08031031623,1257,14,48,41,9,23,1122,1725,18,95,72,13,40,1487,731,369,680,445,779,282,767,363,728,339,704,355,916,292,881,338
vtd:08031031628,1835,256,248,85,11,29,1206,2298,331,339,105,13,38,1472,823,280,820,332,854,228,843,245,864,197,834,210,1057,250,1029,278
vtd:08031031825,975,191,64,40,11,11,658,1322,229,92,54,13,19,915,715,75,723,83,728,68,705,115,709,82,697,91,845,88,837,96
vtd:08031031855,3268,337,454,152,39,43,2243,3567,384,535,179,45,44,2380,1133,252,1054,237,1222,191,1151,257,1281,176,1248,213,1989,287,1928,324
vtd:08031031612,1251,53,125,53,11,19,990,1484,69,182,59,18,25,1131,632,149,697,193,740,146,730,173,745,149,739,154,908,160,881,176
vtd:08031031835,1058,35,57,37,13,10,906,1417,45,82,56,18,25,1191,754,152,712,193,804,112,792,147,774,153,762,160,887,117,873,152
vtd:08031031123,1595,67,330,63,18,15,1102,1965,107,467,76,32,19,1264,402,478,468,491,525,498,534,527,499,489,466,522,625,528,595,563
vtd:08031031532,828,38,209,28,10,17,526,950,57,247,32,10,20,584,348,53,405,65,442,58,413,70,429,51,417,53,541,57,544,61
vtd:08031031919,1434,103,171,85,9,36,1030,1741,161,224,101,14,39,1202,724,400,700,433,751,386,735,414,764,348,727,385,898,344,851,375
vtd:08031031928,910,80,81,33,13,19,684,1237,108,127,49,13,42,898,504,283,429,275,517,212,511,242,500,220,472,236,598,207,571,246
vtd:08031031733,4770,1067,1497,631,59,36,1480,6293,1513,2123,861,75,48,1673,583,209,433,137,699,219,658,249,706,190,713,194,1688,518,1628,553
vtd:08031031932,1440,164,197,66,20,31,962,1777,242,253,72,27,44,1139,511,297,617,304,611,238,610,241,606,220,583,242,758,267,743,285
vtd:08031031933,813,71,51,42,15,25,609,1033,104,94,70,16,34,715,364,235,363,227,403,222,408,231,437,199,406,222,502,222,485,237
